name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Danny Mitchell,19,9,0.961038961038961,0.9289242259968677,0.9077441077441077,Orthodox,2.53,49.0,2.53,52.0,0.0,0.0,100.0,3.0,0,0,1,0,2.111111111111111
Raymond Daniels,0,1,0.9487179487179488,0.9023550919453704,0.9077178278330714,Southpaw,0.0,0.0,2.61,38.0,0.0,0.0,33.0,3.0,0,0,0,1,0.0
Fabiano Iha,9,5,0.8947368421052632,0.9227034120734908,0.8944944598337952,Orthodox,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,0,1,0,0,1.8
Jan Nortje,2,6,0.8202247191011235,0.40258252927534577,0.896911663216011,Southpaw,3.32,51.0,4.5,32.0,0.0,0.0,66.0,2.9,0,0,0,0,0.3333333333333333
Anthony Hernandez,11,2,0.923076923076923,0.9023550919453704,0.9036144578313253,Orthodox,4.33,62.0,3.36,46.0,6.79,57.0,63.0,2.9,0,0,0,1,5.5
Marcus Jones,4,2,0.8764044943820225,0.3441463624130329,0.896911663216011,Orthodox,1.94,52.0,2.71,58.0,8.71,75.0,0.0,2.9,0,0,0,0,2.0
Jason High,21,6,0.8947368421052632,0.9227034120734908,0.9125,Southpaw,1.28,42.0,1.56,48.0,2.36,63.0,37.0,2.8,0,1,0,0,3.5
Mike Nickels,9,5,0.9743589743589743,1.0,0.9077178278330714,Orthodox,4.44,52.0,1.11,64.0,11.11,80.0,0.0,2.8,0,0,0,1,1.8
Shaheen Santana,6,1,0.9605263157894737,0.9227034120734908,0.9375,Orthodox,0.82,42.0,1.65,40.0,0.0,0.0,0.0,2.8,0,1,0,0,6.0
Sam Patterson,10,2,0.986842105263158,0.9227034120734908,0.9750000000000001,Orthodox,2.56,36.0,3.98,44.0,0.0,0.0,33.0,2.8,0,1,0,0,5.0
